run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration
1,1,False,500,"[-0.18668910891934587, 2.780583403748219, 1.0]","[-4, -4, 1.0]",-1
2,1,False,500,"[1.843585222638593, 4.220684878914952, 1.0]","[-4, -4, 1.0]",-1
3,1,False,500,"[-2.7736010834859384, 4.479942044490874, 1.0]","[-4, -4, 1.0]",-1
4,1,False,500,"[-0.991773434540562, 0.8690890678527623, 1.0]","[-4, -4, 1.0]",-1
5,1,False,500,"[1.0571672898051467, 1.759479797690715, 1.0]","[-4, -4, 1.0]",-1
6,1,False,500,"[2.1486699652315373, 1.6817562075185268, 1.0]","[-4, -4, 1.0]",-1
7,1,False,500,"[1.884818089691466, 4.368492983197383, 1.0]","[-4, -4, 1.0]",-1
8,1,False,500,"[0.16739489933830765, -0.505204948710027, 1.0]","[-4, -4, 1.0]",-1
9,1,True,147,"[-1.0546189763493539, -4.954297086167951, 1.0]","[-4, -4, 1.0]",146
10,1,False,500,"[-2.242299197092078, 3.6629461975512374, 1.0]","[-4, -4, 1.0]",-1
11,1,False,500,"[-2.4404057280514966, 4.6314843262839, 1.0]","[-4, -4, 1.0]",-1
12,1,False,500,"[-0.840830472819655, 4.510434458783722, 1.0]","[-4, -4, 1.0]",-1
13,1,False,500,"[-4.738218464521, 0.7627041584937642, 1.0]","[-4, -4, 1.0]",-1
14,1,False,500,"[0.8915032623193184, 2.0745419002266017, 1.0]","[-4, -4, 1.0]",-1
15,1,False,500,"[-1.5397953479760593, -1.8142479164733905, 1.0]","[-4, -4, 1.0]",-1
16,1,False,500,"[1.2124702861711292, 2.4937439166751307, 1.0]","[-4, -4, 1.0]",-1
17,1,False,500,"[0.7657384112335883, 0.7744823692716256, 1.0]","[-4, -4, 1.0]",-1
18,1,False,500,"[-3.8295049361294433, 1.315895039546068, 1.0]","[-4, -4, 1.0]",-1
19,1,True,56,"[-2.1703084224066127, -4.846535453659683, 1.0]","[-4, -4, 1.0]",55
20,1,False,500,"[2.248275732531665, -0.3213346701024653, 1.0]","[-4, -4, 1.0]",-1
21,1,False,500,"[-1.2117101802449781, 3.289560400823836, 1.0]","[-4, -4, 1.0]",-1
22,1,True,89,"[-4.56452295960254, -1.9003992187294405, 1.0]","[-4, -4, 1.0]",88
23,1,False,500,"[0.6722102065933573, 2.113608632415513, 1.0]","[-4, -4, 1.0]",-1
24,1,False,500,"[-0.3859757219971094, -0.7626507840717824, 1.0]","[-4, -4, 1.0]",-1
25,1,False,500,"[-1.4527627550697675, 2.6657558165849515, 1.0]","[-4, -4, 1.0]",-1
26,1,True,379,"[-4.418263217119923, -0.48319020400487567, 1.0]","[-4, -4, 1.0]",378
27,1,False,500,"[4.222357469351504, 4.19785995526342, 1.0]","[-4, -4, 1.0]",-1
28,1,False,500,"[-4.618415084402699, 4.145500640950473, 1.0]","[-4, -4, 1.0]",-1
29,1,False,500,"[-3.1371863202782233, 3.864490834631942, 1.0]","[-4, -4, 1.0]",-1
30,1,False,500,"[0.5515411109790449, 2.845551576384847, 1.0]","[-4, -4, 1.0]",-1
