run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration
1,5,True,39,"[4.576068300920552, -2.0391811788303746, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",38,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
2,5,False,500,"[2.519423116339973, -0.6796749130180029, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
3,5,True,9,"[3.0274182122939877, 4.982651088625177, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",8,"[0, 0, 1.0]",-1
4,5,False,500,"[-0.5188540949184404, 2.0531831577285526, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
5,5,False,500,"[0.3561359545038991, 2.79122403727874, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
6,5,True,17,"[2.6875706017267103, 4.6330420948167585, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",16,"[0, 0, 1.0]",-1
7,5,True,321,"[-0.23658938734200685, 3.1756429720305874, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",320,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
8,5,True,89,"[1.875924940264328, 4.82141341921951, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",88,"[0, 0, 1.0]",-1
9,5,True,190,"[-4.121369895182526, 0.49651231761246084, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",189,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
10,5,True,424,"[0.8855897394094168, -2.0608541633279334, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",423,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
11,5,False,500,"[2.7949270270483693, 0.8583925272955248, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
12,5,True,236,"[-0.723954184681034, 3.03198264348028, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",235,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
13,5,False,500,"[1.6769746947928041, 3.6479351153434934, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
14,5,True,129,"[4.4957502988385585, 1.7221139796410725, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",128,"[0, 0, 1.0]",-1
15,5,False,500,"[1.8401115358526843, 1.5925293490686734, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
16,5,True,96,"[1.767615039391992, 4.674637708262663, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",95,"[0, 0, 1.0]",-1
17,5,True,335,"[-3.234099026402495, -1.8032824865816135, 1.0]","[-4, -4, 1.0]",334,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
18,5,False,500,"[0.21026883862551493, 2.6468630535317015, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
19,5,False,500,"[0.4941458153357816, -1.0826806114842, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
20,5,True,217,"[-0.8058302760611458, 3.520444156669429, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",216,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
21,5,True,1,"[2.959875737407435, 3.8817054151148938, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",0,"[0, 0, 1.0]",-1
22,5,True,78,"[-1.2095421628903602, 4.610705435629676, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",77,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
23,5,True,1,"[-4.349815489639814, 3.7972221532317914, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",0,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
24,5,False,500,"[2.8014925489604376, 0.13831009013570572, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
25,5,True,58,"[-2.433528309400671, 2.4247154769114365, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",57,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
26,5,False,500,"[2.052872989659246, -1.6366833802639347, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
27,5,True,1,"[-4.597344037570298, -4.512315724754023, 1.0]","[-4, -4, 1.0]",0,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
28,5,True,1,"[4.145337199310394, -3.143211270396101, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",0,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
29,5,True,6,"[-2.7354900064321983, 3.7618575024609555, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",5,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
30,5,True,1,"[4.073202161921344, 3.207037692768129, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",0,"[0, 0, 1.0]",-1
