run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration
1,1,False,500,"[-1.98355884363166, 3.691194394738776, 1.0]","[-4, -4, 1.0]",-1
2,1,False,500,"[0.6677858459637642, -3.4681202521066323, 1.0]","[-4, -4, 1.0]",-1
3,1,False,500,"[1.696583246407232, 0.5516782494210464, 1.0]","[-4, -4, 1.0]",-1
4,1,False,500,"[-3.300754820227442, -1.7397950414296268, 1.0]","[-4, -4, 1.0]",-1
5,1,False,500,"[0.935155928038566, -2.338314733818976, 1.0]","[-4, -4, 1.0]",-1
6,1,False,500,"[0.7255741780753215, -1.4388155537509295, 1.0]","[-4, -4, 1.0]",-1
7,1,False,500,"[-2.4159281484586934, -3.6183422239152216, 1.0]","[-4, -4, 1.0]",-1
8,1,False,500,"[3.889367675135384, -4.83895209201009, 1.0]","[-4, -4, 1.0]",-1
9,1,False,500,"[3.555688421399042, -1.975428470975087, 1.0]","[-4, -4, 1.0]",-1
10,1,False,500,"[3.331806475236224, 0.5521290061117075, 1.0]","[-4, -4, 1.0]",-1
11,1,False,500,"[2.5143116694936785, 4.734505087487056, 1.0]","[-4, -4, 1.0]",-1
12,1,False,500,"[0.5796502278791067, -1.9370867562689078, 1.0]","[-4, -4, 1.0]",-1
13,1,False,500,"[-4.074875177072891, 3.280077363605244, 1.0]","[-4, -4, 1.0]",-1
14,1,False,500,"[-0.5226021462740338, 2.315379346586406, 1.0]","[-4, -4, 1.0]",-1
15,1,False,500,"[-0.14767481537396154, 4.711205907848328, 1.0]","[-4, -4, 1.0]",-1
16,1,False,500,"[2.141691574067236, 1.1010112662822245, 1.0]","[-4, -4, 1.0]",-1
17,1,False,500,"[-1.751875085850958, -3.743469987724153, 1.0]","[-4, -4, 1.0]",-1
18,1,False,500,"[-3.788698177212897, -4.129014582915959, 1.0]","[-4, -4, 1.0]",-1
19,1,False,500,"[4.1841034093437095, 2.312473986950593, 1.0]","[-4, -4, 1.0]",-1
20,1,False,500,"[2.6523479982260945, 4.230711901237951, 1.0]","[-4, -4, 1.0]",-1
21,1,False,500,"[-4.826253901250288, -2.9347742217230923, 1.0]","[-4, -4, 1.0]",-1
22,1,False,500,"[1.496490016427984, 0.8077478514815617, 1.0]","[-4, -4, 1.0]",-1
23,1,False,500,"[-2.7375391914467273, 2.0545025659319824, 1.0]","[-4, -4, 1.0]",-1
24,1,False,500,"[-2.513611235391109, -1.5071054924883698, 1.0]","[-4, -4, 1.0]",-1
25,1,False,500,"[-0.2843300082233027, -2.6701143251066837, 1.0]","[-4, -4, 1.0]",-1
26,1,False,500,"[-3.43444172001792, -4.558932842418465, 1.0]","[-4, -4, 1.0]",-1
27,1,False,500,"[1.0735795041118568, 0.06802561767011994, 1.0]","[-4, -4, 1.0]",-1
28,1,False,500,"[4.4093962352379545, -3.491696345743226, 1.0]","[-4, -4, 1.0]",-1
29,1,False,500,"[-1.9721085581303779, 2.8911653271946154, 1.0]","[-4, -4, 1.0]",-1
30,1,False,500,"[3.535458964693097, 2.8809180596323056, 1.0]","[-4, -4, 1.0]",-1
