run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration
1,1,False,500,"[2.977929529416201, -1.419276928526929, 1.0]","[-4, -4, 1.0]",-1
2,1,False,500,"[-2.1184952935896284, -2.1583016603954777, 1.0]","[-4, -4, 1.0]",-1
3,1,False,500,"[4.762579453791979, 3.164736894257633, 1.0]","[-4, -4, 1.0]",-1
4,1,False,500,"[0.15876781109389526, -4.344710622101976, 1.0]","[-4, -4, 1.0]",-1
5,1,False,500,"[4.520094314657619, -1.9320682366348993, 1.0]","[-4, -4, 1.0]",-1
6,1,False,500,"[3.604069465867628, -1.3163455438973437, 1.0]","[-4, -4, 1.0]",-1
7,1,False,500,"[0.1390496256533913, -2.4948284492462713, 1.0]","[-4, -4, 1.0]",-1
8,1,False,500,"[-2.004811185029066, 1.5207364699286252, 1.0]","[-4, -4, 1.0]",-1
9,1,False,500,"[0.16261193562380782, 1.9083387433850998, 1.0]","[-4, -4, 1.0]",-1
10,1,False,500,"[2.9342754458653726, 1.3685644516070425, 1.0]","[-4, -4, 1.0]",-1
11,1,False,500,"[-4.3679221976410565, -2.6591709745411274, 1.0]","[-4, -4, 1.0]",-1
12,1,False,500,"[1.266880952835602, -1.4225471651292931, 1.0]","[-4, -4, 1.0]",-1
13,1,False,500,"[-3.9752695574771013, -0.35442934153906336, 1.0]","[-4, -4, 1.0]",-1
14,1,False,500,"[-1.4048494030982739, 2.804378473558838, 1.0]","[-4, -4, 1.0]",-1
15,1,False,500,"[-1.2765775252125247, 0.10438190359792898, 1.0]","[-4, -4, 1.0]",-1
16,1,False,500,"[3.7272109398427453, -4.995201357254038, 1.0]","[-4, -4, 1.0]",-1
17,1,False,500,"[-2.962471716023521, -2.0786915225104483, 1.0]","[-4, -4, 1.0]",-1
18,1,False,500,"[-0.5801847739064279, -2.988968928750314, 1.0]","[-4, -4, 1.0]",-1
19,1,False,500,"[-4.600670062698912, 0.24890147940920926, 1.0]","[-4, -4, 1.0]",-1
20,1,False,500,"[-1.4522901677232203, -2.253827505438343, 1.0]","[-4, -4, 1.0]",-1
21,1,False,500,"[3.8476231002655066, -3.91768327942549, 1.0]","[-4, -4, 1.0]",-1
22,1,False,500,"[-0.36964488713983723, -0.6944481575959749, 1.0]","[-4, -4, 1.0]",-1
23,1,False,500,"[4.747345370903039, -2.8531755719201457, 1.0]","[-4, -4, 1.0]",-1
24,1,False,500,"[-1.0554958750212053, -4.333641136842736, 1.0]","[-4, -4, 1.0]",-1
25,1,False,500,"[1.8188044068012381, 1.030003008530354, 1.0]","[-4, -4, 1.0]",-1
26,1,False,500,"[3.5054489974819205, -0.24184915137445628, 1.0]","[-4, -4, 1.0]",-1
27,1,False,500,"[3.123527123151961, 0.1812057298995562, 1.0]","[-4, -4, 1.0]",-1
28,1,False,500,"[-4.678511082470988, 3.5634304277393323, 1.0]","[-4, -4, 1.0]",-1
29,1,False,500,"[-4.802592879347959, -2.593570891465782, 1.0]","[-4, -4, 1.0]",-1
30,1,False,500,"[0.310785293438852, -4.637184691680229, 1.0]","[-4, -4, 1.0]",-1
