run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration
1,5,False,500,"[1.1642612521145015, -1.6287423782328316, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
2,5,True,70,"[-1.5119027905849536, -1.9943061834802123, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",69,"[4, -4, 1.0]",69,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
3,5,False,500,"[0.7462579010050483, -3.58841536278295, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
4,5,False,500,"[2.9397825168200518, 2.5545880490464388, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
5,5,False,500,"[-0.8613348789557298, -1.0319478065033714, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
6,5,False,500,"[-3.1520560497238326, -2.60371180869, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
7,5,False,500,"[3.4917627579108785, 2.4624709737272843, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
8,5,False,500,"[-1.0819886530454914, -1.9243301188003246, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
9,5,False,500,"[-0.6736163493414393, 4.789276085637921, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
10,5,True,66,"[-0.2766814797374266, 4.024049723470993, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",65,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
11,5,False,500,"[0.5713795179316428, 3.1619605319719835, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
12,5,True,114,"[4.985896294656607, 3.801880176963598, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",113,"[4, 4, 1.0]",113,"[0, 0, 1.0]",-1
13,5,True,65,"[4.178233899457615, -1.1246613213380208, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",64,"[0, 0, 1.0]",-1
14,5,True,99,"[-3.4831549718625823, 4.396077141804788, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",98,"[0, 0, 1.0]",-1
15,5,True,89,"[-3.348491691395452, 3.532734552820237, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",88,"[0, 0, 1.0]",-1
16,5,False,500,"[0.42753780021646204, -3.146845938881133, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
17,5,False,500,"[-0.4151946610361552, -0.2812014847537654, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1
18,5,True,81,"[2.579024128999224, -2.688164351376124, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",80,"[0, 0, 1.0]",-1
