run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration
1,1,True,150,"[-4.7373600286781326, 2.2311107226779434, 1.0]","[-4, -4, 1.0]",150
2,1,True,72,"[0.9554741164265881, -2.396267724990544, 1.0]","[-4, -4, 1.0]",72
3,1,True,77,"[-1.2911512059582875, -4.772065036640632, 1.0]","[-4, -4, 1.0]",77
4,1,True,22,"[-1.4333310522963338, -2.177805604978471, 1.0]","[-4, -4, 1.0]",22
5,1,True,285,"[4.387256511164889, 1.0555868154384704, 1.0]","[-4, -4, 1.0]",285
6,1,True,266,"[-0.5985000159510809, 3.648563733210569, 1.0]","[-4, -4, 1.0]",266
7,1,True,42,"[-1.501540964061947, -1.8513503526021458, 1.0]","[-4, -4, 1.0]",42
8,1,True,179,"[3.3997008701273135, 1.270464583863716, 1.0]","[-4, -4, 1.0]",179
9,1,True,127,"[4.721057300959851, -4.74213875174999, 1.0]","[-4, -4, 1.0]",127
10,1,True,135,"[4.094377571002033, -0.337375966374859, 1.0]","[-4, -4, 1.0]",135
11,1,True,41,"[-1.4711719671511236, -0.22090639742196405, 1.0]","[-4, -4, 1.0]",41
12,1,True,100,"[-3.4454631486756937, 1.663157440132947, 1.0]","[-4, -4, 1.0]",100
13,1,True,20,"[-0.4851660859268989, -3.2673555315997618, 1.0]","[-4, -4, 1.0]",20
14,1,True,178,"[1.3528550964501083, 2.4181434238405117, 1.0]","[-4, -4, 1.0]",178
15,1,True,123,"[-2.7678218196932036, 2.554954683061946, 1.0]","[-4, -4, 1.0]",123
16,1,True,121,"[-1.8125376239609925, 3.957424712787663, 1.0]","[-4, -4, 1.0]",121
17,1,True,587,"[4.855687933555634, 2.913386114133382, 1.0]","[-4, -4, 1.0]",587
18,1,True,71,"[-2.7431191772938366, 2.7091148212989093, 1.0]","[-4, -4, 1.0]",71
19,1,True,105,"[3.9443915797065525, -1.5083266490404634, 1.0]","[-4, -4, 1.0]",105
20,1,True,35,"[-4.914584259449526, -2.7453395986497995, 1.0]","[-4, -4, 1.0]",35
21,1,True,168,"[2.948482504960273, 2.5409051460966836, 1.0]","[-4, -4, 1.0]",168
22,1,True,818,"[-3.9485615701446752, 0.8485468314504407, 1.0]","[-4, -4, 1.0]",818
23,1,True,123,"[-2.3916986946446728, 2.5641274214804364, 1.0]","[-4, -4, 1.0]",123
24,1,True,201,"[2.4426798053365237, 4.645310762921376, 1.0]","[-4, -4, 1.0]",201
25,1,True,132,"[4.503327109779137, -2.674544407507385, 1.0]","[-4, -4, 1.0]",132
26,1,True,322,"[-4.742384398414389, 4.732824400011955, 1.0]","[-4, -4, 1.0]",322
27,1,True,245,"[4.0377224472496245, 1.8612630622729656, 1.0]","[-4, -4, 1.0]",245
28,1,True,116,"[2.8791335572458063, 0.0392437307218767, 1.0]","[-4, -4, 1.0]",116
29,1,True,43,"[0.47769641521747364, -1.3410038453616213, 1.0]","[-4, -4, 1.0]",43
30,1,True,62,"[-0.8071990544688106, 0.8238095002521337, 1.0]","[-4, -4, 1.0]",62
