run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration
1,10,True,7,"[1.3849443717850107, -2.989175253856786, 1.0]","[-4, -4, 1.0]",435,"[-4, 4, 1.0]",73,"[4, -4, 1.0]",7,"[4, 4, 1.0]",301,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",16,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",113,"[0, 2, 1.0]",-1
2,10,True,10,"[-2.4500366688342465, 0.130602072713498, 1.0]","[-4, -4, 1.0]",67,"[-4, 4, 1.0]",10,"[4, -4, 1.0]",37,"[4, 4, 1.0]",223,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",16,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",157,"[0, 2, 1.0]",-1
3,10,True,73,"[3.599256238957718, -1.1397932638694863, 1.0]","[-4, -4, 1.0]",1548,"[-4, 4, 1.0]",251,"[4, -4, 1.0]",73,"[4, 4, 1.0]",135,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",130,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",95,"[0, 2, 1.0]",-1
4,10,True,1,"[2.5196743179892556, 2.4032537296177425, 1.0]","[-4, -4, 1.0]",163,"[-4, 4, 1.0]",63,"[4, -4, 1.0]",40,"[4, 4, 1.0]",57,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",68,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1
5,10,True,76,"[-4.275847445657361, -0.46952322736279406, 1.0]","[-4, -4, 1.0]",105,"[-4, 4, 1.0]",76,"[4, -4, 1.0]",79,"[4, 4, 1.0]",152,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",106,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",147,"[0, 2, 1.0]",-1
6,10,True,63,"[-0.16603973371172032, -4.462270488680915, 1.0]","[-4, -4, 1.0]",138,"[-4, 4, 1.0]",91,"[4, -4, 1.0]",69,"[4, 4, 1.0]",241,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",63,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",182,"[0, 2, 1.0]",-1
7,10,True,4,"[0.3390641510985839, 2.4816812751692394, 1.0]","[-4, -4, 1.0]",203,"[-4, 4, 1.0]",64,"[4, -4, 1.0]",43,"[4, 4, 1.0]",66,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",288,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",4,"[0, 2, 1.0]",-1
8,10,True,1,"[3.8277841065056677, -3.204324953480362, 1.0]","[-4, -4, 1.0]",141,"[-4, 4, 1.0]",168,"[4, -4, 1.0]",1,"[4, 4, 1.0]",124,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",61,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",116,"[0, 2, 1.0]",-1
9,10,True,5,"[-4.869557965150758, 3.796429218806068, 1.0]","[-4, -4, 1.0]",203,"[-4, 4, 1.0]",5,"[4, -4, 1.0]",173,"[4, 4, 1.0]",200,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",163,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",140,"[0, 2, 1.0]",-1
10,10,True,1,"[3.955854438851068, -3.292320138784225, 1.0]","[-4, -4, 1.0]",91,"[-4, 4, 1.0]",138,"[4, -4, 1.0]",1,"[4, 4, 1.0]",233,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",116,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",79,"[0, 2, 1.0]",-1
11,10,True,3,"[-3.029864677006646, 2.3130977591351956, 1.0]","[-4, -4, 1.0]",93,"[-4, 4, 1.0]",3,"[4, -4, 1.0]",255,"[4, 4, 1.0]",75,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",22,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",81,"[0, 2, 1.0]",-1
12,10,True,2,"[0.03746199190216437, 1.8125405501237495, 1.0]","[-4, -4, 1.0]",150,"[-4, 4, 1.0]",14,"[4, -4, 1.0]",221,"[4, 4, 1.0]",60,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",280,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",2,"[0, 2, 1.0]",-1
13,10,True,3,"[-0.064747329646905, 1.1809279615424533, 1.0]","[-4, -4, 1.0]",203,"[-4, 4, 1.0]",111,"[4, -4, 1.0]",88,"[4, 4, 1.0]",234,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",208,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",3,"[0, 2, 1.0]",-1
14,10,True,8,"[-2.5972065078186803, -2.575973586003595, 1.0]","[-4, -4, 1.0]",82,"[-4, 4, 1.0]",45,"[4, -4, 1.0]",50,"[4, 4, 1.0]",174,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",8,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",139,"[0, 2, 1.0]",-1
15,10,True,29,"[1.814248627077104, 3.8734697889808647, 1.0]","[-4, -4, 1.0]",177,"[-4, 4, 1.0]",29,"[4, -4, 1.0]",157,"[4, 4, 1.0]",124,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",178,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",55,"[0, 2, 1.0]",-1
16,10,True,1,"[-3.9154615693844494, 4.633663391639896, 1.0]","[-4, -4, 1.0]",123,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",128,"[4, 4, 1.0]",157,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",89,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",205,"[0, 2, 1.0]",-1
17,10,True,1,"[2.3517072399171335, 0.6083618947127825, 1.0]","[-4, -4, 1.0]",217,"[-4, 4, 1.0]",36,"[4, -4, 1.0]",83,"[4, 4, 1.0]",26,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",322,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1
18,10,True,1,"[-1.7317566219741733, -1.00465987888116, 1.0]","[-4, -4, 1.0]",64,"[-4, 4, 1.0]",28,"[4, -4, 1.0]",145,"[4, 4, 1.0]",245,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",148,"[0, 2, 1.0]",-1
19,10,True,45,"[4.823587815661742, -1.6023531663603299, 1.0]","[-4, -4, 1.0]",195,"[-4, 4, 1.0]",156,"[4, -4, 1.0]",45,"[4, 4, 1.0]",70,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",161,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",133,"[0, 2, 1.0]",-1
20,10,True,33,"[-1.1694814745712314, -4.818173959570254, 1.0]","[-4, -4, 1.0]",50,"[-4, 4, 1.0]",133,"[4, -4, 1.0]",33,"[4, 4, 1.0]",288,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",73,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",328,"[0, 2, 1.0]",-1
21,10,True,37,"[0.28468834617136896, 1.5147376188819504, 1.0]","[-4, -4, 1.0]",224,"[-4, 4, 1.0]",103,"[4, -4, 1.0]",37,"[4, 4, 1.0]",109,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",305,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",51,"[0, 2, 1.0]",-1
22,10,True,7,"[-3.0211446673766016, 1.002347560735732, 1.0]","[-4, -4, 1.0]",53,"[-4, 4, 1.0]",7,"[4, -4, 1.0]",340,"[4, 4, 1.0]",84,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",19,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",124,"[0, 2, 1.0]",-1
23,10,True,33,"[4.836062853327771, -4.745328745791511, 1.0]","[-4, -4, 1.0]",362,"[-4, 4, 1.0]",149,"[4, -4, 1.0]",33,"[4, 4, 1.0]",259,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",355,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",542,"[0, 2, 1.0]",-1
24,10,True,40,"[-2.330194607261048, -3.0544167395632824, 1.0]","[-4, -4, 1.0]",52,"[-4, 4, 1.0]",47,"[4, -4, 1.0]",50,"[4, 4, 1.0]",124,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",40,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",375,"[0, 2, 1.0]",-1
