run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration
1,15,True,1,"[2.964934035466717, 3.915777487399355, 1.0]","[-4, -4, 1.0]",299,"[-4, 4, 1.0]",42,"[4, -4, 1.0]",229,"[4, 4, 1.0]",1,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",230,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",49,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",244,"[-3, 0, 1.0]",378,"[3, 0, 1.0]",240,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
2,15,True,1,"[3.0237399996234657, 1.0469136935482641, 1.0]","[-4, -4, 1.0]",115,"[-4, 4, 1.0]",59,"[4, -4, 1.0]",63,"[4, 4, 1.0]",44,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",248,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",85,"[-3, 0, 1.0]",265,"[3, 0, 1.0]",2,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
3,15,True,17,"[-2.0557556788193176, 4.270334781636052, 1.0]","[-4, -4, 1.0]",84,"[-4, 4, 1.0]",49,"[4, -4, 1.0]",124,"[4, 4, 1.0]",124,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",47,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",131,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",81,"[-3, 0, 1.0]",17,"[3, 0, 1.0]",116,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
4,15,True,11,"[-2.492369289656332, -4.372855618966092, 1.0]","[-4, -4, 1.0]",30,"[-4, 4, 1.0]",202,"[4, -4, 1.0]",84,"[4, 4, 1.0]",376,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",11,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",351,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",123,"[-3, 0, 1.0]",236,"[3, 0, 1.0]",439,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
5,15,True,1,"[2.3151472035087064, 0.672476628830915, 1.0]","[-4, -4, 1.0]",176,"[-4, 4, 1.0]",155,"[4, -4, 1.0]",63,"[4, 4, 1.0]",78,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",124,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",2,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",65,"[-3, 0, 1.0]",149,"[3, 0, 1.0]",1,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
6,15,True,12,"[-3.8562736335682923, 1.4430670159888042, 1.0]","[-4, -4, 1.0]",77,"[-4, 4, 1.0]",90,"[4, -4, 1.0]",80,"[4, 4, 1.0]",96,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",62,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",215,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",165,"[-3, 0, 1.0]",12,"[3, 0, 1.0]",126,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
7,15,True,14,"[2.3124820486066353, -0.8495197679123869, 1.0]","[-4, -4, 1.0]",108,"[-4, 4, 1.0]",47,"[4, -4, 1.0]",129,"[4, 4, 1.0]",62,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",235,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",25,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",93,"[-3, 0, 1.0]",101,"[3, 0, 1.0]",14,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
8,15,True,4,"[-3.6066886961576996, 2.460549421923557, 1.0]","[-4, -4, 1.0]",78,"[-4, 4, 1.0]",4,"[4, -4, 1.0]",41,"[4, 4, 1.0]",69,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",55,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",79,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",60,"[-3, 0, 1.0]",62,"[3, 0, 1.0]",341,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
9,15,True,1,"[-4.323547079854628, 3.840751677885665, 1.0]","[-4, -4, 1.0]",183,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",127,"[4, 4, 1.0]",169,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",50,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",109,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",134,"[-3, 0, 1.0]",46,"[3, 0, 1.0]",150,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
10,15,True,5,"[3.8348068020849233, 4.028019313195934, 1.0]","[-4, -4, 1.0]",491,"[-4, 4, 1.0]",263,"[4, -4, 1.0]",222,"[4, 4, 1.0]",5,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",281,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",146,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",319,"[-3, 0, 1.0]",335,"[3, 0, 1.0]",229,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
11,15,True,8,"[-0.4438476753316465, 1.1560672611974523, 1.0]","[-4, -4, 1.0]",612,"[-4, 4, 1.0]",16,"[4, -4, 1.0]",279,"[4, 4, 1.0]",236,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",227,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",8,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",106,"[-3, 0, 1.0]",305,"[3, 0, 1.0]",30,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
12,15,True,2,"[-2.6916966051939273, 3.5041957963780543, 1.0]","[-4, -4, 1.0]",330,"[-4, 4, 1.0]",2,"[4, -4, 1.0]",90,"[4, 4, 1.0]",74,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",102,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",102,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",89,"[-3, 0, 1.0]",56,"[3, 0, 1.0]",83,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
13,15,True,1,"[-0.5738609513674406, -2.4605591877755515, 1.0]","[-4, -4, 1.0]",36,"[-4, 4, 1.0]",63,"[4, -4, 1.0]",13,"[4, 4, 1.0]",125,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",4,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",144,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",37,"[3, 0, 1.0]",44,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
14,15,True,40,"[0.26410144928419577, 3.6343211493223286, 1.0]","[-4, -4, 1.0]",304,"[-4, 4, 1.0]",40,"[4, -4, 1.0]",108,"[4, 4, 1.0]",153,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",92,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",63,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",117,"[-3, 0, 1.0]",217,"[3, 0, 1.0]",76,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
15,15,True,3,"[-1.6695463354222664, 1.3231202120592336, 1.0]","[-4, -4, 1.0]",64,"[-4, 4, 1.0]",11,"[4, -4, 1.0]",49,"[4, 4, 1.0]",113,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",24,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",207,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",23,"[-3, 0, 1.0]",3,"[3, 0, 1.0]",290,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
16,15,True,23,"[1.9048818676636348, 4.142511018504875, 1.0]","[-4, -4, 1.0]",224,"[-4, 4, 1.0]",54,"[4, -4, 1.0]",75,"[4, 4, 1.0]",23,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",317,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",45,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",227,"[-3, 0, 1.0]",95,"[3, 0, 1.0]",85,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
17,15,True,7,"[0.4849119284829815, -0.6017352357357817, 1.0]","[-4, -4, 1.0]",73,"[-4, 4, 1.0]",1155,"[4, -4, 1.0]",51,"[4, 4, 1.0]",702,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",7,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1852,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",373,"[-3, 0, 1.0]",137,"[3, 0, 1.0]",1758,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
18,15,True,52,"[-2.028260149664675, -4.609029340518961, 1.0]","[-4, -4, 1.0]",52,"[-4, 4, 1.0]",101,"[4, -4, 1.0]",144,"[4, 4, 1.0]",167,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",98,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",290,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",193,"[-3, 0, 1.0]",233,"[3, 0, 1.0]",109,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
19,15,True,1,"[0.9086965919342909, -1.2747884139717014, 1.0]","[-4, -4, 1.0]",185,"[-4, 4, 1.0]",111,"[4, -4, 1.0]",14,"[4, 4, 1.0]",601,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",26,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",130,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",63,"[3, 0, 1.0]",543,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
