run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration,drone_15_start_pos,drone_15_found_in_iteration,drone_16_start_pos,drone_16_found_in_iteration,drone_17_start_pos,drone_17_found_in_iteration,drone_18_start_pos,drone_18_found_in_iteration,drone_19_start_pos,drone_19_found_in_iteration
1,20,True,8,"[-0.45400268306121916, 2.306456512127415, 1.0]","[-4, -4, 1.0]",321,"[-4, 4, 1.0]",66,"[4, -4, 1.0]",65,"[4, 4, 1.0]",44,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",54,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",8,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",142,"[-3, 0, 1.0]",97,"[3, 0, 1.0]",19,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
2,20,True,1,"[-1.1530314579484213, -2.0900481844224936, 1.0]","[-4, -4, 1.0]",23,"[-4, 4, 1.0]",36,"[4, -4, 1.0]",19,"[4, 4, 1.0]",100,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",81,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",13,"[3, 0, 1.0]",77,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
3,20,True,4,"[0.48062715524687416, 2.6954446892845416, 1.0]","[-4, -4, 1.0]",130,"[-4, 4, 1.0]",43,"[4, -4, 1.0]",37,"[4, 4, 1.0]",62,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",71,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",4,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",261,"[-3, 0, 1.0]",583,"[3, 0, 1.0]",28,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
4,20,True,1,"[1.8135287202844177, 1.5498710201895172, 1.0]","[-4, -4, 1.0]",122,"[-4, 4, 1.0]",71,"[4, -4, 1.0]",25,"[4, 4, 1.0]",46,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",140,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",218,"[-3, 0, 1.0]",112,"[3, 0, 1.0]",4,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
5,20,True,2,"[1.9586340707298593, -0.093002456273382, 1.0]","[-4, -4, 1.0]",383,"[-4, 4, 1.0]",182,"[4, -4, 1.0]",197,"[4, 4, 1.0]",75,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",336,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",17,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",195,"[-3, 0, 1.0]",226,"[3, 0, 1.0]",2,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
6,20,True,4,"[-3.986433821629861, -2.036435777599178, 1.0]","[-4, -4, 1.0]",4,"[-4, 4, 1.0]",139,"[4, -4, 1.0]",106,"[4, 4, 1.0]",297,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",60,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",278,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",197,"[-3, 0, 1.0]",6,"[3, 0, 1.0]",173,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
7,20,True,16,"[3.585909216114743, 2.2715576338408567, 1.0]","[-4, -4, 1.0]",145,"[-4, 4, 1.0]",307,"[4, -4, 1.0]",42,"[4, 4, 1.0]",68,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",234,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",60,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",123,"[-3, 0, 1.0]",325,"[3, 0, 1.0]",16,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
8,20,True,4,"[3.045453151793568, 1.256060498617786, 1.0]","[-4, -4, 1.0]",470,"[-4, 4, 1.0]",136,"[4, -4, 1.0]",40,"[4, 4, 1.0]",73,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",214,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",4,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",136,"[-3, 0, 1.0]",186,"[3, 0, 1.0]",5,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
9,20,True,23,"[-4.071017335486214, 1.4723035832383324, 1.0]","[-4, -4, 1.0]",70,"[-4, 4, 1.0]",37,"[4, -4, 1.0]",98,"[4, 4, 1.0]",122,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",103,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",77,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",43,"[-3, 0, 1.0]",23,"[3, 0, 1.0]",159,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
10,20,True,7,"[3.2770283344911473, 4.376015759650702, 1.0]","[-4, -4, 1.0]",304,"[-4, 4, 1.0]",224,"[4, -4, 1.0]",379,"[4, 4, 1.0]",7,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",340,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",145,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",232,"[-3, 0, 1.0]",129,"[3, 0, 1.0]",120,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
11,20,True,1,"[-1.5984799833766647, -0.06563908683765085, 1.0]","[-4, -4, 1.0]",39,"[-4, 4, 1.0]",11,"[4, -4, 1.0]",35,"[4, 4, 1.0]",104,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",19,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",101,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",17,"[-3, 0, 1.0]",1,"[3, 0, 1.0]",300,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
12,20,True,1,"[-1.9746680836561792, -0.565861523661936, 1.0]","[-4, -4, 1.0]",60,"[-4, 4, 1.0]",11,"[4, -4, 1.0]",37,"[4, 4, 1.0]",199,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",115,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",7,"[-3, 0, 1.0]",1,"[3, 0, 1.0]",152,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
13,20,True,1,"[-3.190274172096829, 3.3493430678195146, 1.0]","[-4, -4, 1.0]",71,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",77,"[4, 4, 1.0]",108,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",82,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",103,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",125,"[-3, 0, 1.0]",148,"[3, 0, 1.0]",131,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
14,20,True,1,"[1.3655534133008151, 0.4755426176010138, 1.0]","[-4, -4, 1.0]",182,"[-4, 4, 1.0]",170,"[4, -4, 1.0]",344,"[4, 4, 1.0]",22,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",130,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",308,"[-3, 0, 1.0]",271,"[3, 0, 1.0]",5,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
15,20,True,2,"[3.222708021052064, 1.713967311717866, 1.0]","[-4, -4, 1.0]",405,"[-4, 4, 1.0]",180,"[4, -4, 1.0]",79,"[4, 4, 1.0]",46,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",116,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",2,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",199,"[-3, 0, 1.0]",188,"[3, 0, 1.0]",23,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
16,20,True,1,"[-2.0595308223012987, -1.3967917988107903, 1.0]","[-4, -4, 1.0]",38,"[-4, 4, 1.0]",54,"[4, -4, 1.0]",28,"[4, 4, 1.0]",192,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",271,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",7,"[-3, 0, 1.0]",7,"[3, 0, 1.0]",82,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
17,20,True,18,"[-4.161562779819263, -3.46183454286071, 1.0]","[-4, -4, 1.0]",18,"[-4, 4, 1.0]",172,"[4, -4, 1.0]",270,"[4, 4, 1.0]",241,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",122,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",402,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",334,"[-3, 0, 1.0]",190,"[3, 0, 1.0]",254,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
18,20,True,21,"[1.3674101359573276, -4.184796770191722, 1.0]","[-4, -4, 1.0]",111,"[-4, 4, 1.0]",147,"[4, -4, 1.0]",21,"[4, 4, 1.0]",116,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",47,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",117,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",44,"[-3, 0, 1.0]",55,"[3, 0, 1.0]",89,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
19,20,True,9,"[-3.0701999339850614, -2.696839768575894, 1.0]","[-4, -4, 1.0]",9,"[-4, 4, 1.0]",78,"[4, -4, 1.0]",57,"[4, 4, 1.0]",149,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",54,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",117,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",158,"[-3, 0, 1.0]",71,"[3, 0, 1.0]",251,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
20,20,True,8,"[-4.580411828349207, 4.989393376213307, 1.0]","[-4, -4, 1.0]",257,"[-4, 4, 1.0]",8,"[4, -4, 1.0]",353,"[4, 4, 1.0]",307,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",197,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",283,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",437,"[-3, 0, 1.0]",252,"[3, 0, 1.0]",246,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
21,20,True,56,"[-0.6137311925751217, 4.895875626754657, 1.0]","[-4, -4, 1.0]",148,"[-4, 4, 1.0]",56,"[4, -4, 1.0]",125,"[4, 4, 1.0]",98,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",270,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",206,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",160,"[-3, 0, 1.0]",196,"[3, 0, 1.0]",155,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
