run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration,drone_15_start_pos,drone_15_found_in_iteration,drone_16_start_pos,drone_16_found_in_iteration,drone_17_start_pos,drone_17_found_in_iteration,drone_18_start_pos,drone_18_found_in_iteration,drone_19_start_pos,drone_19_found_in_iteration,drone_20_start_pos,drone_20_found_in_iteration,drone_21_start_pos,drone_21_found_in_iteration,drone_22_start_pos,drone_22_found_in_iteration,drone_23_start_pos,drone_23_found_in_iteration,drone_24_start_pos,drone_24_found_in_iteration
1,25,True,2,"[-2.6631170214626976, -1.1933261686301098, 1.0]","[-4, -4, 1.0]",298,"[-4, 4, 1.0]",19,"[4, -4, 1.0]",43,"[4, 4, 1.0]",104,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",14,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",163,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",130,"[-3, 0, 1.0]",2,"[3, 0, 1.0]",163,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",68,"[-4, 4, 1.0]",49,"[4, -4, 1.0]",39,"[4, 4, 1.0]",223
2,25,True,17,"[-3.002777033537373, -2.480895890620063, 1.0]","[-4, -4, 1.0]",17,"[-4, 4, 1.0]",52,"[4, -4, 1.0]",125,"[4, 4, 1.0]",215,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",116,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",174,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",85,"[-3, 0, 1.0]",33,"[3, 0, 1.0]",99,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",121,"[-4, 4, 1.0]",62,"[4, -4, 1.0]",97,"[4, 4, 1.0]",121
3,25,True,1,"[4.235693246348999, -4.30726791702819, 1.0]","[-4, -4, 1.0]",248,"[-4, 4, 1.0]",247,"[4, -4, 1.0]",1,"[4, 4, 1.0]",145,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",169,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",164,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",170,"[-3, 0, 1.0]",202,"[3, 0, 1.0]",63,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",1147,"[-4, 4, 1.0]",131,"[4, -4, 1.0]",1,"[4, 4, 1.0]",223
4,25,True,1,"[-0.633276727322146, -0.8317697863226323, 1.0]","[-4, -4, 1.0]",55,"[-4, 4, 1.0]",64,"[4, -4, 1.0]",53,"[4, 4, 1.0]",311,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",7,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",186,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",24,"[3, 0, 1.0]",211,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",71,"[-4, 4, 1.0]",87,"[4, -4, 1.0]",20,"[4, 4, 1.0]",179
5,25,True,84,"[4.844228145827467, -2.231765726134433, 1.0]","[-4, -4, 1.0]",207,"[-4, 4, 1.0]",236,"[4, -4, 1.0]",92,"[4, 4, 1.0]",144,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",329,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",84,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",106,"[-3, 0, 1.0]",146,"[3, 0, 1.0]",225,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",200,"[-4, 4, 1.0]",166,"[4, -4, 1.0]",109,"[4, 4, 1.0]",90
6,25,True,1,"[1.789197863618, 1.8939551701989377, 1.0]","[-4, -4, 1.0]",363,"[-4, 4, 1.0]",162,"[4, -4, 1.0]",60,"[4, 4, 1.0]",49,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",222,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",142,"[-3, 0, 1.0]",260,"[3, 0, 1.0]",11,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",130,"[-4, 4, 1.0]",175,"[4, -4, 1.0]",60,"[4, 4, 1.0]",21
7,25,True,1,"[2.715803486366993, 2.2515172157180574, 1.0]","[-4, -4, 1.0]",164,"[-4, 4, 1.0]",117,"[4, -4, 1.0]",47,"[4, 4, 1.0]",23,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",128,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",134,"[-3, 0, 1.0]",132,"[3, 0, 1.0]",12,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",216,"[-4, 4, 1.0]",88,"[4, -4, 1.0]",51,"[4, 4, 1.0]",18
8,25,True,2870,"[1.220680781202689, -0.9670072850306877, 1.0]","[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",-1,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",-1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",-1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",-1,"[-3, 0, 1.0]",-1,"[3, 0, 1.0]",-1,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",-1,"[-4, 4, 1.0]",-1,"[4, -4, 1.0]",3073,"[4, 4, 1.0]",2870
9,25,True,1,"[4.474957323353072, -4.324865100420824, 1.0]","[-4, -4, 1.0]",284,"[-4, 4, 1.0]",180,"[4, -4, 1.0]",1,"[4, 4, 1.0]",118,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",88,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",319,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",102,"[-3, 0, 1.0]",211,"[3, 0, 1.0]",111,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",292,"[-4, 4, 1.0]",252,"[4, -4, 1.0]",1,"[4, 4, 1.0]",326
10,25,True,3,"[-1.0341222376666348, 1.4267309371080898, 1.0]","[-4, -4, 1.0]",110,"[-4, 4, 1.0]",281,"[4, -4, 1.0]",431,"[4, 4, 1.0]",81,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",31,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",79,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",137,"[-3, 0, 1.0]",3,"[3, 0, 1.0]",362,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",162,"[-4, 4, 1.0]",98,"[4, -4, 1.0]",56,"[4, 4, 1.0]",296
