run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration,drone_15_start_pos,drone_15_found_in_iteration,drone_16_start_pos,drone_16_found_in_iteration,drone_17_start_pos,drone_17_found_in_iteration,drone_18_start_pos,drone_18_found_in_iteration,drone_19_start_pos,drone_19_found_in_iteration,drone_20_start_pos,drone_20_found_in_iteration,drone_21_start_pos,drone_21_found_in_iteration,drone_22_start_pos,drone_22_found_in_iteration,drone_23_start_pos,drone_23_found_in_iteration,drone_24_start_pos,drone_24_found_in_iteration,drone_25_start_pos,drone_25_found_in_iteration,drone_26_start_pos,drone_26_found_in_iteration,drone_27_start_pos,drone_27_found_in_iteration,drone_28_start_pos,drone_28_found_in_iteration,drone_29_start_pos,drone_29_found_in_iteration
1,30,True,1,"[-0.44660046233620676, -3.071499972312365, 1.0]","[-4, -4, 1.0]",94,"[-4, 4, 1.0]",190,"[4, -4, 1.0]",15,"[4, 4, 1.0]",184,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",77,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",68,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",30,"[3, 0, 1.0]",81,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",174,"[-4, 4, 1.0]",46,"[4, -4, 1.0]",37,"[4, 4, 1.0]",138,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",7,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",174
2,30,True,1,"[3.993325242481095, 4.234433485461757, 1.0]","[-4, -4, 1.0]",185,"[-4, 4, 1.0]",126,"[4, -4, 1.0]",393,"[4, 4, 1.0]",1,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",356,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",150,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",346,"[-3, 0, 1.0]",377,"[3, 0, 1.0]",353,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",215,"[-4, 4, 1.0]",241,"[4, -4, 1.0]",197,"[4, 4, 1.0]",13,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",343,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",180
3,30,True,1,"[-0.48048102156954187, -2.740582294482188, 1.0]","[-4, -4, 1.0]",49,"[-4, 4, 1.0]",87,"[4, -4, 1.0]",15,"[4, 4, 1.0]",216,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",16,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",106,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",57,"[3, 0, 1.0]",53,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",39,"[-4, 4, 1.0]",304,"[4, -4, 1.0]",12,"[4, 4, 1.0]",248,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",19,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",125
4,30,True,11,"[1.79840742591304, 3.8097954440158084, 1.0]","[-4, -4, 1.0]",206,"[-4, 4, 1.0]",25,"[4, -4, 1.0]",288,"[4, 4, 1.0]",38,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",132,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",11,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",130,"[-3, 0, 1.0]",245,"[3, 0, 1.0]",28,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",275,"[-4, 4, 1.0]",57,"[4, -4, 1.0]",162,"[4, 4, 1.0]",13,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",443,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",19
5,30,True,1,"[-2.46813113067724, -0.1754837800068838, 1.0]","[-4, -4, 1.0]",24,"[-4, 4, 1.0]",20,"[4, -4, 1.0]",33,"[4, 4, 1.0]",90,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",161,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",31,"[-3, 0, 1.0]",1,"[3, 0, 1.0]",97,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",34,"[-4, 4, 1.0]",17,"[4, -4, 1.0]",40,"[4, 4, 1.0]",195,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",196
6,30,True,1,"[3.6715146127406033, 0.1973362483000134, 1.0]","[-4, -4, 1.0]",350,"[-4, 4, 1.0]",106,"[4, -4, 1.0]",20,"[4, 4, 1.0]",95,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",159,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",10,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",179,"[-3, 0, 1.0]",291,"[3, 0, 1.0]",1,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",431,"[-4, 4, 1.0]",250,"[4, -4, 1.0]",34,"[4, 4, 1.0]",49,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",95,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",24
7,30,True,4,"[2.0483204087160587, -3.7664149436906236, 1.0]","[-4, -4, 1.0]",38,"[-4, 4, 1.0]",64,"[4, -4, 1.0]",4,"[4, 4, 1.0]",161,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",54,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",81,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",24,"[-3, 0, 1.0]",43,"[3, 0, 1.0]",77,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",154,"[-4, 4, 1.0]",114,"[4, -4, 1.0]",5,"[4, 4, 1.0]",178,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",38,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",108
8,30,True,15,"[-0.6284649191776923, 0.8090467382691999, 1.0]","[-4, -4, 1.0]",153,"[-4, 4, 1.0]",57,"[4, -4, 1.0]",67,"[4, 4, 1.0]",270,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",53,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",395,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",19,"[-3, 0, 1.0]",15,"[3, 0, 1.0]",60,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",190,"[-4, 4, 1.0]",246,"[4, -4, 1.0]",89,"[4, 4, 1.0]",359,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",95,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",391
9,30,True,1,"[-1.96396863898755, -0.5272290227678988, 1.0]","[-4, -4, 1.0]",127,"[-4, 4, 1.0]",18,"[4, -4, 1.0]",38,"[4, 4, 1.0]",175,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",87,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",11,"[-3, 0, 1.0]",1,"[3, 0, 1.0]",168,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",29,"[-4, 4, 1.0]",13,"[4, -4, 1.0]",42,"[4, 4, 1.0]",183,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",127
10,30,True,2,"[-3.3933273697438713, -2.1474823386638864, 1.0]","[-4, -4, 1.0]",27,"[-4, 4, 1.0]",41,"[4, -4, 1.0]",91,"[4, 4, 1.0]",237,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",2,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",103,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",28,"[-3, 0, 1.0]",11,"[3, 0, 1.0]",227,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",33,"[-4, 4, 1.0]",75,"[4, -4, 1.0]",166,"[4, 4, 1.0]",180,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",62,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",107
