run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration
1,5,True,10,"[-4.178132514368436, -0.48589576655112054, 1.0]","[-4, -4, 1.0]",10,"[-4, 4, 1.0]",57,"[4, -4, 1.0]",128,"[4, 4, 1.0]",258,"[0, 0, 1.0]",-1
2,5,True,302,"[0.1644430045304679, 0.23613309438900743, 1.0]","[-4, -4, 1.0]",4636,"[-4, 4, 1.0]",2206,"[4, -4, 1.0]",-1,"[4, 4, 1.0]",302,"[0, 0, 1.0]",-1
3,5,True,7,"[-1.5143660927455604, 1.647074611690024, 1.0]","[-4, -4, 1.0]",72,"[-4, 4, 1.0]",7,"[4, -4, 1.0]",67,"[4, 4, 1.0]",133,"[0, 0, 1.0]",-1
4,5,True,1,"[-4.492710488435476, 4.45793126489302, 1.0]","[-4, -4, 1.0]",328,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",99,"[4, 4, 1.0]",189,"[0, 0, 1.0]",-1
5,5,True,43,"[-3.4527657572461, -1.0706772987598026, 1.0]","[-4, -4, 1.0]",43,"[-4, 4, 1.0]",70,"[4, -4, 1.0]",142,"[4, 4, 1.0]",181,"[0, 0, 1.0]",-1
6,5,True,72,"[-1.2511083258500033, -4.0506299694857475, 1.0]","[-4, -4, 1.0]",101,"[-4, 4, 1.0]",158,"[4, -4, 1.0]",72,"[4, 4, 1.0]",159,"[0, 0, 1.0]",-1
7,5,True,5,"[-1.4964207608505067, 3.236295125958952, 1.0]","[-4, -4, 1.0]",105,"[-4, 4, 1.0]",5,"[4, -4, 1.0]",172,"[4, 4, 1.0]",42,"[0, 0, 1.0]",-1
8,5,True,21,"[0.37178377526731765, 2.778419187088855, 1.0]","[-4, -4, 1.0]",287,"[-4, 4, 1.0]",70,"[4, -4, 1.0]",53,"[4, 4, 1.0]",21,"[0, 0, 1.0]",-1
9,5,True,9,"[-2.687442406930548, 1.466622602349129, 1.0]","[-4, -4, 1.0]",43,"[-4, 4, 1.0]",9,"[4, -4, 1.0]",88,"[4, 4, 1.0]",174,"[0, 0, 1.0]",-1
10,5,True,52,"[0.08949604379058229, 0.6319218274254803, 1.0]","[-4, -4, 1.0]",581,"[-4, 4, 1.0]",218,"[4, -4, 1.0]",254,"[4, 4, 1.0]",52,"[0, 0, 1.0]",-1
11,5,True,1,"[3.5077448404897886, -2.7666588535488246, 1.0]","[-4, -4, 1.0]",99,"[-4, 4, 1.0]",143,"[4, -4, 1.0]",1,"[4, 4, 1.0]",114,"[0, 0, 1.0]",-1
12,5,True,1,"[-3.381450056398223, 3.895056344895643, 1.0]","[-4, -4, 1.0]",176,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",298,"[4, 4, 1.0]",83,"[0, 0, 1.0]",-1
13,5,True,35,"[-1.085420044923623, -4.701142488773855, 1.0]","[-4, -4, 1.0]",35,"[-4, 4, 1.0]",171,"[4, -4, 1.0]",55,"[4, 4, 1.0]",189,"[0, 0, 1.0]",-1
